emp_id,monthly_income,salary_slab,daily_rate,hourly_rate,monthly_rate,percent_salary_hike,stock_option_level
RM297,1420,Upto 5k,230,54,25233,13,0
RM302,1200,Upto 5k,812,69,9724,12,0
RM458,1878,Upto 5k,1306,69,8059,14,0
RM728,1051,Upto 5k,287,73,13493,15,0
RM829,1904,Upto 5k,247,80,13556,12,0
RM973,1611,Upto 5k,1124,97,19305,15,0
RM1154,1569,Upto 5k,544,70,18420,12,0
RM1312,1514,Upto 5k,1431,33,8018,16,0
RM128,1675,Upto 5k,528,50,26820,19,0
RM150,1483,Upto 5k,1181,79,16102,14,0
RM423,2564,Upto 5k,489,52,18437,12,0
RM689,2121,Upto 5k,419,37,9947,13,0
RM488,2836,Upto 5k,959,83,11757,13,0
RM690,2973,Upto 5k,129,84,13008,19,0
RM732,2600,Upto 5k,1097,98,18275,15,0
RM371,2716,Upto 5k,156,90,25422,15,0
RM664,2693,Upto 5k,1427,65,8870,19,0
RM018,2935,Upto 5k,1123,96,7324,13,2
RM110,2871,Upto 5k,534,59,23785,15,0
RM861,2853,Upto 5k,1256,48,4223,11,1
RM1274,2398,Upto 5k,1294,79,15999,17,0
RM087,2322,Upto 5k,541,62,9518,13,1
RM587,2694,Upto 5k,1092,60,26551,11,3
RM872,2210,Upto 5k,984,97,3372,13,1
RM1061,3172,Upto 5k,381,89,16998,11,0
RM1062,2033,Upto 5k,830,78,7103,13,1
RM1223,1555,Upto 5k,240,58,11585,11,1
RM684,2413,Upto 5k,867,36,18798,18,3
RM461,4306,Upto 5k,775,45,4267,12,2
RM464,2340,Upto 5k,471,66,23213,18,0
RM042,2341,Upto 5k,1240,33,19715,13,1
RM616,1706,Upto 5k,443,50,16571,11,3
RM971,2534,Upto 5k,1291,98,6527,14,1
RM1380,2863,Upto 5k,1337,58,19555,12,0
RM265,3485,Upto 5k,529,79,14935,11,0
RM801,2596,Upto 5k,1009,45,7160,15,2
RM1069,2561,Upto 5k,289,38,5355,11,0
RM1070,1563,Upto 5k,1423,72,12530,14,1
RM1338,2856,Upto 5k,1172,78,3692,19,1
RM266,6644,5k-10k,1210,78,3687,19,2
RM547,2642,Upto 5k,1396,99,2755,11,0
RM590,2319,Upto 5k,805,36,6689,11,1
RM1105,2451,Upto 5k,598,91,22376,18,2
RM1259,2109,Upto 5k,590,91,10007,13,1
RM1330,2804,Upto 5k,352,87,15434,11,0
RM1366,1091,Upto 5k,746,45,10642,17,0
RM382,2476,Upto 5k,202,72,17434,18,1
RM481,2033,Upto 5k,448,74,14470,18,1
RM1053,1274,Upto 5k,990,64,7152,13,2
RM1339,1081,Upto 5k,945,89,16019,13,0
RM440,9824,5k-10k,534,66,22908,12,0
RM981,2785,Upto 5k,703,90,11882,14,0
RM1013,1359,Upto 5k,667,50,16154,12,0
RM1017,1261,Upto 5k,202,34,22262,12,0
RM1258,8161,5k-10k,1079,70,19002,13,3
RM1313,2956,Upto 5k,359,89,21495,17,0
RM1403,1129,Upto 5k,1276,59,17536,11,3
RM102,2956,Upto 5k,827,71,15178,13,0
RM851,2827,Upto 5k,862,76,14947,12,3
RM1206,1393,Upto 5k,1259,95,24852,12,0
RM1238,6735,5k-10k,964,34,12147,15,0
RM1320,4648,Upto 5k,1318,79,26075,13,0
RM364,2851,Upto 5k,350,34,9150,13,0
RM1075,6388,5k-10k,516,69,22049,17,0
RM115,4505,Upto 5k,1031,45,15000,15,1
RM561,5121,5k-10k,167,32,4187,14,1
RM804,2979,Upto 5k,697,40,22478,17,3
RM907,2585,Upto 5k,1320,89,21643,17,0
RM1116,2972,Upto 5k,479,35,22061,13,0
RM041,1951,Upto 5k,464,75,10910,12,1
RM516,1281,Upto 5k,727,41,16900,18,2
RM558,5093,5k-10k,1225,61,4761,11,1
RM1060,2404,Upto 5k,660,76,16192,13,1
RM1111,2074,Upto 5k,104,69,26619,12,1
RM299,3688,Upto 5k,566,81,7122,18,2
RM762,4834,Upto 5k,660,81,7858,14,1
RM1122,6815,5k-10k,884,73,21447,13,0
RM003,2090,Upto 5k,1373,92,2396,15,0
RM105,5163,5k-10k,1040,100,15850,14,1
RM523,4680,Upto 5k,1225,80,15232,17,0
RM629,6334,5k-10k,342,66,24558,19,2
RM745,4777,Upto 5k,1141,61,14382,15,0
RM796,6694,5k-10k,309,88,24223,14,3
RM199,6553,5k-10k,1261,88,7259,14,0
RM205,6673,5k-10k,1180,70,11354,19,0
RM472,9824,5k-10k,1495,76,22174,19,1
RM491,2619,Upto 5k,362,43,14561,17,0
RM543,7861,5k-10k,168,81,15397,14,0
RM748,6861,5k-10k,1035,42,4981,12,0
RM812,7351,5k-10k,130,32,20619,16,0
RM1203,3306,Upto 5k,1495,87,26176,19,1
RM1392,2858,Upto 5k,1404,59,11473,14,0
RM034,2086,Upto 5k,895,56,3335,14,1
RM328,5238,5k-10k,1162,41,17778,18,0
RM602,5094,5k-10k,720,51,11983,14,0
RM685,9705,5k-10k,658,67,20652,12,1
RM707,13194,10k-15k,1479,100,17071,16,0
RM867,4327,Upto 5k,1184,62,25440,12,3
RM1230,6516,5k-10k,369,92,5041,16,1
RM1428,2406,Upto 5k,543,83,4060,19,2
RM216,13591,10k-15k,896,75,14674,18,0
RM243,3072,Upto 5k,1411,36,19877,16,2
RM831,4766,Upto 5k,167,46,9051,11,1
RM865,2107,Upto 5k,906,95,20293,17,1
RM349,15992,15k+,810,44,15901,14,0
RM742,18303,15k+,265,90,7770,13,0
RM825,4272,Upto 5k,188,56,9558,19,0
RM888,13191,10k-15k,458,60,23281,17,0
RM926,2372,Upto 5k,603,78,5628,16,0
RM1089,4841,Upto 5k,1210,68,24052,14,1
RM1288,5538,5k-10k,1128,95,5696,18,2
RM1326,3968,Upto 5k,1142,81,13624,13,0
RM1379,5087,5k-10k,419,77,2900,12,2
RM334,9985,5k-10k,1001,43,9262,16,1
RM490,16627,15k+,782,50,2671,14,1
RM776,10798,10k-15k,415,79,5268,13,1
RM1263,2437,Upto 5k,807,38,15587,16,1
RM863,2290,Upto 5k,111,74,4279,13,0
RM1052,4768,Upto 5k,383,79,9282,12,1
RM068,9724,5k-10k,1339,59,18787,17,1
RM604,2274,Upto 5k,252,95,6153,14,0
RM366,5258,5k-10k,1144,30,16044,14,0
RM348,2976,Upto 5k,1309,99,25751,19,0
RM1235,4978,Upto 5k,543,87,3536,11,1
RM051,5381,5k-10k,626,98,19294,13,0
RM679,2259,Upto 5k,1469,51,5543,17,2
RM902,2559,Upto 5k,969,76,16620,11,0
RM905,18265,15k+,715,76,8733,12,0
RM900,18711,15k+,1098,85,12124,13,1
RM743,2380,Upto 5k,804,64,20165,18,0
RM802,4728,Upto 5k,959,81,17251,14,0
RM1127,19331,15k+,264,59,19519,16,1
RM157,6132,5k-10k,1169,34,13983,17,0
RM432,3780,Upto 5k,548,42,23428,11,0
RM1265,19038,15k+,478,60,19805,12,3
RM1372,5380,5k-10k,1443,89,20328,16,1
RM425,14118,10k-15k,210,56,22102,12,1
RM661,2380,Upto 5k,781,57,13384,14,1
RM1375,17875,15k+,605,72,11761,13,1
RM226,2177,Upto 5k,142,70,8456,17,1
RM172,2325,Upto 5k,602,100,20989,21,0
RM1340,2472,Upto 5k,391,75,26092,23,0
RM586,1601,Upto 5k,1243,63,3445,21,2
RM477,2127,Upto 5k,823,94,9100,21,1
RM1119,2061,Upto 5k,474,89,11133,21,0
RM765,1052,Upto 5k,1144,74,23384,22,0
RM712,2404,Upto 5k,906,92,11479,20,0
RM386,2285,Upto 5k,464,40,3427,23,0
RM502,2083,Upto 5k,160,71,22653,20,1
RM603,6877,5k-10k,946,52,20234,24,0
RM1395,9679,5k-10k,1373,56,10138,24,0
RM1256,8564,5k-10k,211,74,10092,20,0
RM119,2835,Upto 5k,922,39,2561,22,1
RM1316,6962,5k-10k,430,73,19573,22,1
RM048,3022,Upto 5k,408,73,10227,21,0
RM417,1702,Upto 5k,1490,42,12106,23,1
RM1033,3646,Upto 5k,592,54,17181,23,0
RM392,3448,Upto 5k,555,78,13436,22,1
RM357,6781,5k-10k,1332,98,17078,23,0
RM662,4765,Upto 5k,177,55,23814,21,1
RM287,3161,Upto 5k,920,43,19920,22,1
RM937,18061,15k+,364,83,13035,22,0
RM353,12504,10k-15k,530,91,23978,21,1
RM158,3346,Upto 5k,1145,75,11873,20,1
RM701,2479,Upto 5k,289,51,26227,24,0
RM1210,10883,10k-15k,370,92,20467,20,1
RM910,2994,Upto 5k,265,57,21221,12,0
RM024,1232,Upto 5k,391,96,19281,14,0
RM911,1223,Upto 5k,373,47,16901,22,1
RM043,2293,Upto 5k,1357,48,10558,12,0
RM1189,4187,Upto 5k,991,43,3356,13,1
RM008,2693,Upto 5k,1358,67,13335,22,1
RM1234,2862,Upto 5k,793,33,3811,12,1
RM1192,5476,5k-10k,1112,67,22589,11,2
RM352,2370,Upto 5k,1062,75,3956,13,1
RM638,2314,Upto 5k,300,61,9148,12,1
RM657,2795,Upto 5k,374,87,18016,24,0
RM683,2332,Upto 5k,1184,70,3974,20,0
RM050,2269,Upto 5k,1229,36,4892,19,0
RM193,5916,5k-10k,556,50,15497,13,0
RM1135,2690,Upto 5k,1349,63,7713,18,1
RM070,3388,Upto 5k,318,79,21777,17,1
RM075,3038,Upto 5k,132,55,22002,12,0
RM359,6653,5k-10k,845,45,15276,15,0
RM251,10048,10k-15k,504,61,22573,11,2
RM390,4197,Upto 5k,1305,49,21123,12,0
RM653,7642,5k-10k,1252,32,4814,13,0
RM560,3057,Upto 5k,268,92,20471,13,1
RM459,10932,10k-15k,1094,58,11373,15,1
RM1197,7082,5k-10k,1206,80,11591,16,0
RM1130,19613,15k+,1059,93,26362,22,0
RM078,13245,10k-15k,193,52,15067,14,0
RM1244,9756,5k-10k,176,56,6595,21,2
RM1136,17567,15k+,563,56,3156,15,0
RM429,5070,5k-10k,983,65,7389,13,3
RM720,4163,Upto 5k,955,83,8571,17,0
RM234,19517,15k+,854,68,24118,11,1
RM259,2723,Upto 5k,833,96,23231,11,0
RM066,14756,10k-15k,836,33,19730,14,3
RM675,10552,10k-15k,1272,37,9255,13,1
RM007,2670,Upto 5k,1324,81,9964,20,3
RM777,2323,Upto 5k,769,54,17205,14,0
RM975,5071,5k-10k,793,43,20392,20,0
RM922,2154,Upto 5k,791,44,6842,11,0
RM1073,3180,Upto 5k,410,97,4668,13,3
RM1251,6294,5k-10k,461,70,23060,12,0
RM1145,5332,5k-10k,715,54,21602,13,0
RM803,4302,Upto 5k,970,30,13401,17,1
RM379,5304,5k-10k,1362,67,4652,13,0
RM441,9950,5k-10k,988,43,11533,15,3
RM795,7756,5k-10k,618,45,22266,17,0
RM823,4033,Upto 5k,1003,95,15834,11,0
RM821,4968,Upto 5k,1182,54,18500,11,1
RM1457,5689,5k-10k,1199,80,24594,14,2
RM1129,5562,5k-10k,1302,80,19711,13,1
RM1441,5131,5k-10k,688,97,9192,13,3
RM1466,2571,Upto 5k,884,41,12290,17,1
RM276,13603,10k-15k,728,80,11677,18,2
RM983,2610,Upto 5k,693,57,15748,11,3
RM209,4876,Upto 5k,1151,63,14242,14,1
RM958,3544,Upto 5k,458,74,8532,16,1
RM1043,3162,Upto 5k,981,90,7973,14,0
RM250,6434,5k-10k,1199,77,5118,17,1
RM1363,5399,5k-10k,1297,44,14511,12,0
RM137,10650,10k-15k,1150,53,25150,15,0
RM1269,12965,10k-15k,661,60,22308,20,3
RM663,2044,Upto 5k,500,49,22052,13,0
RM667,4171,Upto 5k,617,34,10022,19,1
RM1214,2275,Upto 5k,427,99,25103,21,1
RM406,4031,Upto 5k,688,91,9396,13,1
RM289,2373,Upto 5k,1449,45,14180,13,1
RM015,2028,Upto 5k,103,50,12947,14,0
RM646,2800,Upto 5k,341,48,23522,19,3
RM215,2657,Upto 5k,1005,88,8556,11,0
RM721,2132,Upto 5k,138,48,11539,11,0
RM592,5324,5k-10k,118,69,26507,15,0
RM830,8224,5k-10k,603,77,18385,17,0
RM726,3743,Upto 5k,622,39,10074,24,1
RM101,2073,Upto 5k,807,63,23648,22,0
RM941,3904,Upto 5k,360,93,22154,13,0
RM1172,2166,Upto 5k,1329,73,3339,14,0
RM037,2683,Upto 5k,869,86,3810,14,0
RM1198,2728,Upto 5k,727,54,21082,11,0
RM346,2904,Upto 5k,1309,83,16092,12,2
RM517,2819,Upto 5k,885,58,8544,16,1
RM566,3505,Upto 5k,310,79,19630,18,0
RM097,4999,Upto 5k,1353,33,17519,21,1
RM381,4260,Upto 5k,1371,77,5915,12,1
RM639,4256,Upto 5k,583,87,18154,12,0
RM1004,3229,Upto 5k,949,81,4910,11,1
RM1414,3977,Upto 5k,977,57,7298,19,1
RM055,4157,Upto 5k,1443,47,21436,19,1
RM419,2886,Upto 5k,1349,90,3032,22,2
RM506,2659,Upto 5k,991,71,17759,13,1
RM1225,2305,Upto 5k,390,62,6217,15,3
RM1465,2966,Upto 5k,1167,30,21378,18,0
RM374,3816,Upto 5k,1469,82,17881,11,1
