emp_id,employee_number,age,age_group,gender,marital_status,education,education_field,distance_from_home,num_companies_worked,total_working_years,attrition,attrition_count
RM297,405,18,18-25,Male,Single,3,Life Sciences,3,1,0,Yes,1
RM302,411,18,18-25,Female,Single,3,Medical,10,1,0,No,0
RM458,614,18,18-25,Male,Single,3,Marketing,5,1,0,Yes,1
RM728,1012,18,18-25,Male,Single,2,Life Sciences,5,1,0,No,0
RM829,1156,18,18-25,Male,Single,1,Medical,8,1,0,Yes,1
RM973,1368,18,18-25,Female,Single,3,Life Sciences,1,1,0,No,0
RM1154,1624,18,18-25,Female,Single,2,Medical,3,1,0,Yes,1
RM1312,1839,18,18-25,Female,Single,3,Medical,14,1,0,No,0
RM128,167,19,18-25,Male,Single,1,Marketing,22,1,0,Yes,1
RM150,201,19,18-25,Female,Single,1,Medical,3,1,1,No,0
RM423,566,19,18-25,Male,Single,2,Technical Degree,2,1,1,Yes,1
RM689,959,19,18-25,Male,Single,3,Other,21,1,1,Yes,1
RM488,657,20,18-25,Female,Single,3,Life Sciences,1,1,1,No,0
RM690,960,20,18-25,Male,Single,3,Technical Degree,4,1,1,Yes,1
RM732,1016,20,18-25,Female,Single,3,Medical,11,1,1,Yes,1
RM371,494,21,18-25,Female,Single,3,Life Sciences,12,1,1,Yes,1
RM664,923,21,18-25,Female,Single,1,Other,18,1,1,Yes,1
RM018,22,22,18-25,Male,Divorced,2,Medical,16,1,1,No,0
RM110,144,22,18-25,Female,Single,3,Medical,15,1,1,No,0
RM861,1203,22,18-25,Male,Married,4,Life Sciences,3,0,1,Yes,1
RM1274,1783,22,18-25,Female,Married,1,Medical,8,1,1,Yes,1
RM087,113,23,18-25,Male,Divorced,1,Technical Degree,2,3,3,No,0
RM587,812,24,18-25,Male,Divorced,3,Life Sciences,9,1,1,No,0
RM872,1219,24,18-25,Female,Married,2,Life Sciences,17,1,1,Yes,1
RM1061,1494,24,18-25,Male,Single,3,Medical,9,2,4,Yes,1
RM1062,1495,24,18-25,Female,Married,2,Life Sciences,13,1,1,No,0
RM1223,1714,24,18-25,Male,Married,1,Human Resources,22,1,1,Yes,1
RM684,952,25,18-25,Male,Married,2,Marketing,19,1,1,Yes,1
RM461,618,26,26-35,Male,Divorced,2,Medical,29,5,8,No,0
RM464,622,26,26-35,Male,Single,3,Technical Degree,24,1,1,Yes,1
RM042,54,27,26-35,Female,Divorced,4,Life Sciences,2,1,1,No,0
RM616,850,27,26-35,Male,Married,3,Medical,3,1,0,No,0
RM971,1364,27,26-35,Female,Married,3,Medical,11,8,5,No,0
RM1380,1944,27,26-35,Female,Married,3,Human Resources,22,1,1,Yes,1
RM265,364,28,26-35,Male,Single,4,Life Sciences,2,2,5,Yes,1
RM801,1111,28,26-35,Male,Divorced,3,Medical,1,1,1,Yes,1
RM1069,1504,28,26-35,Male,Single,2,Medical,2,7,8,Yes,1
RM1070,1506,28,26-35,Male,Divorced,3,Life Sciences,1,1,1,No,0
RM1338,1875,28,26-35,Female,Married,3,Medical,3,1,1,No,0
RM266,366,29,26-35,Male,Married,3,Medical,2,2,10,No,0
RM547,749,29,26-35,Male,Single,3,Life Sciences,10,1,1,No,0
RM590,816,29,26-35,Female,Married,2,Life Sciences,1,1,1,Yes,1
RM1105,1558,29,26-35,Male,Married,3,Life Sciences,9,6,5,No,0
RM1259,1762,29,26-35,Female,Divorced,3,Technical Degree,4,1,1,No,0
RM1330,1865,29,26-35,Male,Married,1,Medical,6,1,1,No,0
RM1366,1928,29,26-35,Male,Single,3,Technical Degree,24,1,1,Yes,1
RM382,508,30,26-35,Male,Married,1,Technical Degree,2,1,1,No,0
RM481,648,30,26-35,Male,Married,4,Life Sciences,12,1,1,Yes,1
RM1053,1482,30,26-35,Male,Divorced,3,Technical Degree,7,1,1,No,0
RM1339,1876,30,26-35,Male,Single,3,Medical,9,1,1,Yes,1
RM440,587,31,26-35,Male,Married,3,Life Sciences,20,3,12,Yes,1
RM981,1379,31,26-35,Female,Single,3,Life Sciences,2,7,3,Yes,1
RM1013,1427,31,26-35,Female,Single,4,Life Sciences,1,1,1,Yes,1
RM1017,1433,31,26-35,Female,Single,3,Life Sciences,8,1,1,Yes,1
RM1258,1761,31,26-35,Male,Married,4,Marketing,16,2,10,Yes,1
RM1313,1842,31,26-35,Male,Married,5,Human Resources,18,0,2,Yes,1
