emp_id,department,job_role,job_level,business_travel,over_time,years_at_company,years_in_current_role,years_since_last_promotion,years_with_curr_manager
RM297,Research & Development,Laboratory Technician,1,Travel_Rarely,No,0,0,0,0
RM302,Sales,Sales Representative,1,Travel_Rarely,No,0,0,0,0
RM458,Sales,Sales Representative,1,Travel_Frequently,Yes,0,0,0,0
RM728,Research & Development,Research Scientist,1,Non-Travel,No,0,0,0,0
RM829,Research & Development,Laboratory Technician,1,Non-Travel,No,0,0,0,0
RM973,Research & Development,Laboratory Technician,1,Non-Travel,No,0,0,0,0
RM1154,Sales,Sales Representative,1,Travel_Frequently,Yes,0,0,0,0
RM1312,Research & Development,Research Scientist,1,Non-Travel,No,0,0,0,0
RM128,Sales,Sales Representative,1,Travel_Rarely,Yes,0,0,0,0
RM150,Research & Development,Laboratory Technician,1,Travel_Rarely,No,1,0,0,0
RM423,Human Resources,Human Resources,1,Travel_Rarely,No,1,0,0,0
RM689,Sales,Sales Representative,1,Travel_Rarely,Yes,1,0,0,0
RM488,Research & Development,Research Scientist,1,Travel_Rarely,No,1,0,0,0
RM690,Research & Development,Laboratory Technician,1,Travel_Rarely,No,1,0,0,0
RM732,Research & Development,Research Scientist,1,Travel_Rarely,Yes,1,0,0,0
RM371,Sales,Sales Representative,1,Travel_Rarely,No,1,0,0,0
RM664,Research & Development,Research Scientist,1,Travel_Rarely,No,1,0,0,0
RM018,Research & Development,Laboratory Technician,1,Non-Travel,Yes,1,0,0,0
RM110,Research & Development,Laboratory Technician,1,Travel_Rarely,No,0,0,0,0
RM861,Research & Development,Research Scientist,1,Travel_Frequently,Yes,0,0,0,0
RM1274,Research & Development,Laboratory Technician,1,Travel_Rarely,Yes,1,0,0,0
RM087,Sales,Sales Representative,1,Travel_Rarely,No,0,0,0,0
RM587,Research & Development,Laboratory Technician,1,Non-Travel,No,1,0,0,0
RM872,Research & Development,Laboratory Technician,1,Travel_Rarely,No,1,0,0,0
RM1061,Research & Development,Laboratory Technician,1,Travel_Frequently,Yes,0,0,0,0
RM1062,Sales,Sales Representative,1,Non-Travel,No,1,0,0,0
RM1223,Human Resources,Human Resources,1,Travel_Rarely,No,1,0,0,0
RM684,Sales,Sales Representative,1,Travel_Rarely,Yes,1,0,0,0
RM461,Sales,Sales Executive,2,Travel_Rarely,No,0,0,0,0
RM464,Research & Development,Laboratory Technician,1,Travel_Rarely,Yes,1,0,0,0
RM042,Research & Development,Laboratory Technician,1,Travel_Rarely,No,1,0,0,0
RM616,Research & Development,Research Scientist,1,Non-Travel,No,0,0,0,0
RM971,Sales,Sales Representative,1,Travel_Rarely,No,1,0,0,0
RM1380,Human Resources,Human Resources,1,Travel_Frequently,No,1,0,0,0
RM265,Research & Development,Laboratory Technician,1,Travel_Rarely,No,0,0,0,0
RM801,Research & Development,Laboratory Technician,1,Travel_Frequently,No,1,0,0,0
RM1069,Research & Development,Laboratory Technician,1,Travel_Frequently,No,0,0,0,0
RM1070,Research & Development,Research Scientist,1,Travel_Rarely,No,1,0,0,0
RM1338,Sales,Sales Representative,1,Travel_Rarely,No,1,0,0,0
RM266,Sales,Sales Executive,2,Travel_Rarely,No,0,0,0,0
RM547,Sales,Sales Representative,1,Travel_Rarely,No,1,0,0,0
RM590,Research & Development,Laboratory Technician,1,Travel_Rarely,Yes,1,0,0,0
RM1105,Research & Development,Research Scientist,1,Travel_Rarely,No,1,0,0,0
RM1259,Research & Development,Research Scientist,1,Travel_Rarely,No,1,0,0,0
RM1330,Human Resources,Human Resources,1,Travel_Rarely,No,1,0,0,0
RM1366,Sales,Sales Representative,1,Travel_Frequently,No,1,0,0,0
RM382,Sales,Sales Representative,1,Travel_Rarely,No,1,0,0,0
RM481,Sales,Sales Representative,1,Travel_Frequently,No,1,0,0,0
RM1053,Research & Development,Research Scientist,1,Non-Travel,No,1,0,0,0
RM1339,Sales,Sales Representative,1,Travel_Rarely,No,1,0,0,0
RM440,Research & Development,Healthcare Representative,3,Travel_Frequently,No,1,0,0,0
RM981,Sales,Sales Representative,1,Travel_Frequently,No,1,0,0,0
RM1013,Sales,Sales Representative,1,Travel_Frequently,No,1,0,0,0
RM1017,Research & Development,Research Scientist,1,Travel_Rarely,No,1,0,0,0
RM1258,Sales,Sales Executive,3,Travel_Rarely,No,1,0,0,0
RM1313,Human Resources,Human Resources,1,Travel_Rarely,No,1,0,0,0
RM1403,Research & Development,Laboratory Technician,1,Travel_Rarely,Yes,1,0,0,0
RM102,Research & Development,Research Scientist,1,Travel_Rarely,No,1,0,0,0
RM851,Sales,Sales Representative,1,Non-Travel,No,1,0,0,0
RM1206,Research & Development,Laboratory Technician,1,Travel_Rarely,No,1,0,0,0
RM1238,Sales,Sales Executive,2,Travel_Rarely,No,0,0,0,0
RM1320,Sales,Sales Executive,2,Travel_Frequently,No,0,0,0,0
RM364,Sales,Sales Representative,1,Travel_Rarely,Yes,1,0,0,0
RM1075,Research & Development,Healthcare Representative,2,Travel_Rarely,Yes,0,0,0,0
RM115,Research & Development,Research Scientist,2,Travel_Rarely,No,1,0,0,0
RM561,Research & Development,Manufacturing Director,2,Travel_Rarely,No,0,0,0,0
RM804,Research & Development,Research Scientist,1,Non-Travel,No,0,0,0,0
RM907,Research & Development,Research Scientist,1,Travel_Rarely,No,1,0,0,0
RM1116,Research & Development,Research Scientist,1,Travel_Rarely,No,1,0,0,0
RM041,Research & Development,Laboratory Technician,1,Travel_Rarely,No,1,0,0,0
RM516,Research & Development,Laboratory Technician,1,Non-Travel,No,1,0,0,0
RM558,Research & Development,Healthcare Representative,2,Non-Travel,No,1,0,0,0
RM1060,Sales,Sales Representative,1,Travel_Rarely,No,1,0,0,0
RM1111,Research & Development,Laboratory Technician,1,Travel_Rarely,Yes,1,0,0,0
RM299,Research & Development,Laboratory Technician,1,Travel_Frequently,No,1,0,0,0
RM762,Research & Development,Laboratory Technician,2,Travel_Rarely,No,1,0,0,0
RM1122,Sales,Sales Executive,2,Travel_Rarely,No,1,0,0,0
RM003,Research & Development,Laboratory Technician,1,Travel_Rarely,Yes,0,0,0,0
RM105,Research & Development,Healthcare Representative,2,Non-Travel,No,1,0,0,0
RM523,Research & Development,Research Scientist,1,Travel_Rarely,No,1,0,0,0
RM629,Sales,Sales Executive,2,Travel_Rarely,No,1,0,0,0
RM745,Research & Development,Healthcare Representative,2,Travel_Rarely,No,1,0,0,0
RM796,Sales,Sales Executive,2,Travel_Rarely,Yes,1,0,0,0
RM199,Research & Development,Manufacturing Director,2,Travel_Rarely,No,1,0,0,0
RM205,Research & Development,Healthcare Representative,2,Travel_Rarely,Yes,1,0,0,0
RM472,Research & Development,Healthcare Representative,2,Travel_Rarely,No,1,0,0,0
RM491,Research & Development,Research Scientist,1,Travel_Rarely,No,0,0,0,0
RM543,Research & Development,Manufacturing Director,3,Travel_Rarely,Yes,1,0,0,0
RM748,Sales,Sales Executive,2,Travel_Rarely,Yes,1,0,0,0
RM812,Sales,Sales Executive,3,Travel_Rarely,No,1,0,0,0
RM1203,Research & Development,Laboratory Technician,1,Travel_Rarely,No,0,0,0,0
RM1392,Sales,Sales Representative,1,Travel_Rarely,No,1,0,0,0
RM034,Sales,Sales Representative,2,Travel_Rarely,No,1,0,0,0
RM328,Sales,Sales Executive,2,Travel_Rarely,Yes,1,0,0,0
RM602,Research & Development,Laboratory Technician,2,Travel_Frequently,No,1,0,0,0
RM685,Sales,Sales Executive,3,Travel_Rarely,No,1,0,0,0
RM707,Sales,Sales Executive,4,Non-Travel,Yes,1,0,0,0
RM867,Sales,Sales Executive,2,Travel_Frequently,No,0,0,0,0
RM1230,Research & Development,Manufacturing Director,2,Travel_Rarely,Yes,1,0,0,0
RM1428,Research & Development,Laboratory Technician,1,Travel_Rarely,No,1,0,0,0
RM216,Sales,Manager,3,Travel_Rarely,Yes,1,0,0,0
RM243,Research & Development,Research Scientist,2,Travel_Rarely,No,1,0,0,0
RM831,Research & Development,Laboratory Technician,1,Travel_Rarely,Yes,1,0,0,0
RM865,Research & Development,Research Scientist,1,Non-Travel,No,1,0,0,0
RM349,Research & Development,Research Director,4,Travel_Rarely,No,1,0,0,0
RM742,Sales,Manager,5,Travel_Rarely,No,1,0,0,0
RM825,Research & Development,Laboratory Technician,2,Travel_Rarely,No,1,0,0,0
