emp_id,environment_satisfaction,job_satisfaction,relationship_satisfaction,work_life_balance,job_involvement,performance_rating,training_times_last_year
RM297,3,3,3,3,3,3,2
RM302,4,3,1,3,2,3,2
RM458,2,2,4,3,3,3,3
RM728,2,4,4,3,3,3,2
RM829,3,3,4,3,3,3,0
RM973,4,4,3,4,3,3,5
RM1154,2,4,3,4,3,3,2
RM1312,2,3,3,1,3,3,4
RM128,4,3,4,2,3,3,2
RM150,2,2,4,3,3,3,3
RM423,1,4,3,4,2,3,3
RM689,4,2,2,4,2,3,3
RM488,4,2,4,4,2,3,0
RM690,1,1,2,3,3,3,2
RM732,4,1,1,3,2,3,2
RM371,3,2,4,3,4,3,0
RM664,4,4,1,2,3,3,3
RM018,4,4,2,2,4,3,2
RM110,2,4,3,3,3,3,5
RM861,3,4,2,3,2,3,5
RM1274,3,1,3,3,3,3,6
RM087,3,1,3,3,3,3,3
RM587,3,2,3,3,2,3,4
RM872,4,2,1,1,3,3,3
RM1061,2,1,3,2,3,3,2
RM1062,4,2,3,3,3,3,2
RM1223,4,3,3,3,1,3,2
RM684,3,2,3,3,2,3,2
RM461,1,3,1,3,3,3,5
RM464,3,4,2,1,1,3,3
RM042,4,1,4,3,3,3,6
RM616,4,4,3,2,3,3,6
RM971,3,4,2,3,4,3,4
RM1380,1,2,1,3,2,3,2
RM265,1,3,3,1,3,3,5
RM801,1,2,1,3,2,3,2
RM1069,3,1,3,2,2,3,2
RM1070,1,3,4,1,2,3,2
RM1338,2,2,4,3,3,3,3
RM266,1,2,2,3,2,3,2
RM547,3,3,3,3,3,3,6
RM590,2,1,4,3,2,3,1
RM1105,3,3,1,2,4,3,2
RM1259,4,1,3,3,2,3,2
RM1330,4,2,4,3,2,3,3
RM1366,3,1,4,3,4,3,3
RM382,3,2,1,3,3,3,3
RM481,2,1,3,4,2,3,2
RM1053,3,3,2,2,3,3,2
RM1339,2,4,3,2,3,3,3
RM440,1,3,1,3,3,3,2
RM981,3,4,3,4,2,3,3
RM1013,2,3,2,3,1,3,3
RM1017,1,2,3,4,2,3,3
RM1258,1,3,1,3,3,3,2
RM1313,4,1,3,3,4,3,4
RM1403,4,4,3,3,1,3,4
RM102,4,1,4,3,3,3,2
RM851,3,1,3,3,3,3,3
RM1206,4,2,1,3,3,3,2
RM1238,1,2,2,3,1,3,2
RM1320,4,4,3,4,3,3,2
RM364,4,3,2,3,3,3,2
RM1075,4,3,1,3,3,3,6
RM115,3,2,3,3,2,3,3
RM561,2,1,3,3,3,3,3
RM804,3,4,4,3,2,3,2
RM907,3,3,4,2,4,3,5
RM1116,1,4,3,1,3,3,4
RM041,3,4,3,3,3,3,3
RM516,3,3,3,3,2,3,3
RM558,4,1,1,4,3,3,2
RM1060,4,3,1,3,3,3,3
RM1111,1,1,4,3,3,3,2
RM299,3,4,4,3,4,3,2
RM762,1,3,2,2,3,3,3
RM1122,2,3,1,3,3,3,5
RM003,4,3,2,3,2,3,3
RM105,3,4,4,4,2,3,2
RM523,4,4,1,3,4,3,2
RM629,4,3,4,3,2,3,2
RM745,1,2,1,1,1,3,2
RM796,4,4,3,3,2,3,5
RM199,4,3,2,3,3,3,3
RM205,2,1,2,3,3,3,2
RM472,3,3,3,3,3,3,4
RM491,3,1,4,2,3,3,3
RM543,3,3,4,4,3,3,4
RM748,2,4,3,3,3,3,1
RM812,4,2,3,3,3,3,2
RM1203,4,3,4,2,3,3,5
RM1392,1,1,1,2,2,3,3
RM034,4,4,3,4,3,3,6
RM328,4,3,1,2,3,3,3
RM602,1,3,4,3,2,3,6
RM685,1,2,2,2,2,3,2
RM707,2,2,4,2,4,3,2
RM867,2,2,4,3,3,3,2
RM1230,2,1,2,3,3,3,3
RM1428,1,4,3,2,3,3,3
RM216,4,4,3,3,3,3,3
RM243,3,1,1,2,3,3,2
RM831,2,4,1,3,3,3,4
RM865,1,1,1,1,2,3,2
RM349,1,4,2,3,3,3,2
RM742,4,3,2,4,3,3,3
RM825,2,4,1,3,1,3,3
RM888,1,1,3,3,3,3,6
RM926,2,2,4,3,4,3,2
RM1089,3,2,2,3,2,3,3
RM1288,2,1,3,2,4,3,2
RM1326,4,3,4,3,3,3,3
RM1379,2,4,3,3,3,3,4
RM334,3,1,1,2,3,3,1
RM490,2,4,3,2,2,3,3
RM776,3,4,3,3,2,3,5
RM1263,3,3,4,3,2,3,4
RM863,4,3,4,3,1,3,3
RM1052,1,3,3,2,3,3,4
RM068,2,1,3,3,3,3,2
RM604,2,3,4,3,2,3,3
RM366,3,3,3,4,3,3,2
RM348,2,3,1,3,3,3,3
RM1235,3,2,4,1,3,3,3
RM051,1,3,4,3,2,3,2
RM679,4,3,1,2,3,3,2
RM902,4,2,3,2,4,3,4
RM905,4,4,3,4,2,3,3
RM900,1,3,3,4,2,3,2
RM743,1,4,2,3,3,3,5
RM802,4,3,4,3,3,3,4
RM1127,3,3,3,3,3,3,2
RM157,2,3,3,3,2,3,2
RM432,3,3,3,3,3,3,3
RM1265,3,1,2,3,2,3,2
RM1372,4,1,3,3,2,3,3
RM425,1,4,3,2,2,3,3
RM661,4,4,4,2,2,3,3
RM1375,4,4,3,2,3,3,2
RM226,3,4,1,3,2,3,6
RM172,3,1,1,4,1,4,5
RM1340,4,2,1,3,3,4,2
RM586,3,1,3,3,4,4,2
RM477,4,2,4,3,2,4,2
RM1119,1,4,1,3,3,4,5
RM765,4,2,2,3,3,4,5
RM712,4,1,3,3,2,4,5
RM386,3,4,3,3,3,4,4
RM502,3,3,3,3,3,4,2
RM603,3,4,2,2,2,4,4
RM1395,4,4,2,3,2,4,1
RM1256,1,1,3,2,3,4,2
RM119,1,4,1,3,3,4,2
RM1316,4,2,4,3,3,4,2
RM048,2,2,1,3,3,4,1
RM417,4,4,3,3,3,4,3
RM1033,1,1,2,4,2,4,2
RM392,2,3,2,3,2,4,3
RM357,1,4,2,3,2,4,6
RM662,1,2,3,4,3,4,2
RM287,4,3,4,1,3,4,0
RM937,2,2,3,3,3,4,4
RM353,1,3,2,1,3,4,3
RM158,2,2,2,2,2,4,3
RM701,4,3,1,3,3,4,4
RM1210,3,4,3,4,1,4,2
RM910,2,4,4,3,4,3,2
RM024,3,4,4,3,3,3,6
RM911,4,3,4,3,3,4,2
RM043,1,3,3,2,1,3,2
RM1189,1,2,2,2,2,3,3
RM008,4,3,2,3,3,4,2
RM1234,2,4,2,2,3,3,2
RM1192,1,4,1,3,3,3,2
RM352,3,2,3,3,3,3,4
RM638,4,4,2,3,3,3,2
RM657,1,4,3,1,3,4,2
RM683,3,2,3,3,2,4,3
RM050,4,4,4,3,4,3,2
RM193,2,3,1,3,2,3,1
RM1135,3,4,4,2,2,3,5
RM070,4,3,1,2,2,3,0
RM075,2,4,2,3,4,3,3
RM359,4,4,2,3,3,3,6
RM251,1,3,2,3,3,3,5
RM390,3,2,4,2,3,3,2
RM653,1,2,4,3,3,3,2
RM560,4,3,2,1,3,3,0
RM459,3,1,3,3,1,3,2
RM1197,4,3,4,3,3,3,2
RM1130,4,4,4,3,2,4,2
RM078,4,1,2,4,3,3,3
RM1244,3,3,3,4,1,4,2
RM1136,4,1,2,1,4,3,5
RM429,1,4,3,3,3,3,2
RM720,4,4,3,3,3,3,0
RM234,4,4,3,2,3,3,3
RM259,3,4,2,2,3,3,0
RM066,4,3,3,3,3,3,2
RM675,3,2,4,3,2,3,3
RM007,3,1,1,2,4,4,3
RM777,4,4,2,3,3,3,3
RM975,4,4,2,3,1,4,3
RM922,4,3,3,2,3,3,2
RM1073,4,2,3,3,3,3,3
RM1251,4,3,4,4,4,3,5
RM1145,4,1,4,3,3,3,3
RM803,4,2,3,3,3,3,3
RM379,1,4,2,2,4,3,3
RM441,2,1,3,3,3,3,2
